"Представьте, что вы уже работаете врачом. Насколько правильно эти утверждения описывают вашу специальность?",,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Время создания,Выберите специальность из списка, 1. Врач должен регулярно тесно общаться с пациентами,"2. Врач работает со сложными переживаниями пациентов: сообщает плохие новости, улаживает конфликты","3. Врач каждый день выполняет операции или мануальные процедуры, например, постановку ЦВК, массаж, УЗИ, артроскопию",4. Врач регулярно работает со сложной в освоении техникой вроде МРТ и линейного ускорителя,"5. Врач регулярно взаимодействует с кровью, гноем, внутренними органами, тяжелыми травмами и другими вещами, которые сильно действуют на впечатлительных людей"," 6. Врачу приходится выдерживать тяжелые физические нагрузки или проводить манипуляции, требующие большой грубой силы","7. Врач часто сталкивается со смертью, неизлечимыми больными и пациентами в тяжелом состоянии",8. Врач проводит большую часть дня сидя на одном месте,9. Врач должен быстро принимать решения и не теряться в критических ситуациях,"10. Врач помогает другому специалисту в постановке диагноза или проведении процедур, но сам не является лечащим", 11. Врач часто работает в команде,12. Врач ведет одного и того же пациента длительное время: примерно год и более,13. Врач должен долгое время проводить стоя, 14. Врач является узким специалистом в определенной сфере," 15. Врач имеет специальность широкого профиля и регулярно обращается к знаниям из смежных областей. Например, терапевт и гастроэнтеролог",16. У врача этой специальности более высокий риск заразиться от пациента,"17. Врач проводит в среднем больше времени за бумажной работой, чем коллеги из других сфер","18. Врач напрямую отвечает за состояние больного, то есть является лечащим", 19. Врач регулярно получает обратную связь и признание от пациентов,20. Врач работает по предсказуемому и постоянному графику,"21. В сообществе врачей многие считают, что эта специальность в большей степени подходит мужчинам",22. Работа предполагает ночные регулярные ночные или суточные смены,23. Врач быстро видит результат своей работы,"Сколько лет после окончания специалитета (6 лет учебы) необходимо, чтобы освоить эту специальность для начала самостоятельной работы","Если условия работы в стационаре и амбулатории значительно отличаются для вашей специальности, напишите, чем именно"
1238645289,2022-10-24 11:05:35,Анестезиолог-реаниматолог,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,4 балла,5 баллов,2 балла,3 балла,2 балла,5 баллов,4 балла,2 балла,4 балла,2 балла,4 балла,4 балла,5 баллов,,3,В стационаре пациенты более тяжелые
1238622438,2022-10-24 10:41:27,Врач клинической лабораторной диагностики,2 балла,4 балла,4 балла,3 балла,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,3 балла,4 балла,5 баллов,3 балла,4 балла,5 баллов,4 балла,5 баллов,3 балла,2 балла,,5,Микроскопическое исследование анализов на онкоцитологию
1238617365,2022-10-24 10:36:20,Радиотерапевт,2 балла,4 балла,2 балла,5 баллов,4 балла,3 балла,4 балла,2 балла,4 балла,1 балл,4 балла,2 балла,1 балл,2 балла,5 баллов,2 балла,4 балла,5 баллов,4 балла,3 балла,1 балл,1 балл,,2,нет
1238615786,2022-10-24 10:34:44,Психиатр,4 балла,5 баллов,2 балла,1 балл,2 балла,1 балл,4 балла,4 балла,5 баллов,4 балла,4 балла,4 балла,2 балла,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,4 балла,,2,Объёмом и характером работы.
1238606003,2022-10-24 10:24:50,Дерматовенеролог,5 баллов,4 балла,3 балла,1 балл,4 балла,1 балл,1 балл,4 балла,5 баллов,4 балла,4 балла,3 балла,3 балла,5 баллов,4 балла,5 баллов,2 балла,5 баллов,4 балла,4 балла,1 балл,1 балл,,1,
1238604394,2022-10-24 10:23:17,Генетик,2 балла,1 балл,1 балл,3 балла,3 балла,1 балл,1 балл,3 балла,1 балл,2 балла,3 балла,1 балл,1 балл,1 балл,1 балл,1 балл,3 балла,1 балл,3 балла,5 баллов,1 балл,1 балл,,5,
1238602324,2022-10-24 10:21:22,Патологоанатом,1 балл,1 балл,3 балла,3 балла,5 баллов,5 баллов,5 баллов,3 балла,4 балла,5 баллов,5 баллов,1 балл,3 балла,1 балл,5 баллов,4 балла,4 балла,1 балл,1 балл,4 балла,5 баллов,1 балл,,10,
1238600774,2022-10-24 10:19:52,Патологоанатом,1 балл,1 балл,4 балла,3 балла,5 баллов,5 баллов,5 баллов,3 балла,4 балла,5 баллов,3 балла,1 балл,4 балла,1 балл,5 баллов,4 балла,3 балла,1 балл,1 балл,4 балла,5 баллов,1 балл,,5,
1238600575,2022-10-24 10:19:42,Онколог (химиотерапевт),2 балла,2 балла,1 балл,1 балл,1 балл,1 балл,2 балла,3 балла,5 баллов,1 балл,2 балла,3 балла,1 балл,4 балла,3 балла,2 балла,3 балла,4 балла,4 балла,4 балла,3 балла,2 балла,,2,
1238599213,2022-10-24 10:18:20,Патологоанатом,2 балла,3 балла,4 балла,4 балла,5 баллов,5 баллов,5 баллов,4 балла,4 балла,5 баллов,4 балла,1 балл,3 балла,1 балл,5 баллов,4 балла,4 балла,1 балл,1 балл,4 балла,5 баллов,1 балл,,5,
1238596004,2022-10-24 10:14:58,Психиатр,5 баллов,3 балла,2 балла,2 балла,2 балла,2 балла,3 балла,1 балл,5 баллов,3 балла,3 балла,4 балла,1 балл,3 балла,5 баллов,3 балла,5 баллов,5 баллов,4 балла,4 балла,3 балла,1 балл,,3,"Стационарные больные гораздо тяжелее чем амбулаторные, часто не доступны контакту, трудно собрать анамнез и подобрать адекватное лечение."
1238595023,2022-10-24 10:14:00,Патологоанатом,3 балла,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,3 балла,5 баллов,4 балла,1 балл,3 балла,1 балл,5 баллов,4 балла,3 балла,4 балла,1 балл,4 балла,5 баллов,1 балл,,7,
1238593081,2022-10-24 10:12:00,Патологоанатом,3 балла,1 балл,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,4 балла,4 балла,5 баллов,4 балла,1 балл,4 балла,1 балл,5 баллов,4 балла,4 балла,2 балла,1 балл,4 балла,5 баллов,1 балл,,10,
1238592411,2022-10-24 10:11:19,Трансфузиолог,4 балла,2 балла,1 балл,1 балл,5 баллов,1 балл,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,3 балла,1 балл,1 балл,5 баллов,3 балла,5 баллов,1 балл,1 балл,5 баллов,1 балл,1 балл,,2,
1238590359,2022-10-24 10:09:20,Патологоанатом,4 балла,3 балла,3 балла,4 балла,5 баллов,4 балла,5 баллов,4 балла,4 балла,5 баллов,5 баллов,3 балла,3 балла,2 балла,5 баллов,4 балла,4 балла,2 балла,1 балл,4 балла,5 баллов,1 балл,,5,
1238588547,2022-10-24 10:07:32,Онколог (химиотерапевт),2 балла,3 балла,1 балл,1 балл,1 балл,1 балл,4 балла,3 балла,5 баллов,1 балл,5 баллов,3 балла,1 балл,5 баллов,1 балл,1 балл,2 балла,4 балла,4 балла,4 балла,1 балл,3 балла,,2,
1238588417,2022-10-24 10:07:24,Психиатр,5 баллов,5 баллов,2 балла,2 балла,2 балла,1 балл,5 баллов,2 балла,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,1 балл,4 балла,5 баллов,4 балла,3 балла,2 балла,2 балла,,5,"общение с пациентами и их родственниками, подробное заполнение медицинской документации, отправка документов на МСЭК, в суд (недееспособность, принудительное лечение), решение социальных вопросов, оформление документов в ПНИ"
1238581718,2022-10-24 10:00:56,Онколог (химиотерапевт),5 баллов,5 баллов,3 балла,1 балл,5 баллов,2 балла,5 баллов,3 балла,5 баллов,1 балл,5 баллов,3 балла,1 балл,5 баллов,1 балл,2 балла,4 балла,5 баллов,5 баллов,5 баллов,1 балл,2 балла,,2,работа с более тяжелыми пациентами
1238579797,2022-10-24 09:59:08,Психиатр,5 баллов,4 балла,1 балл,1 балл,1 балл,1 балл,4 балла,2 балла,5 баллов,4 балла,4 балла,5 баллов,2 балла,4 балла,4 балла,3 балла,4 балла,4 балла,4 балла,4 балла,1 балл,2 балла,,4.0,не отличаются
1238579264,2022-10-24 09:58:38,Онколог (химиотерапевт),2 балла,2 балла,1 балл,1 балл,1 балл,1 балл,4 балла,4 балла,4 балла,2 балла,4 балла,4 балла,1 балл,5 баллов,1 балл,1 балл,4 балла,5 баллов,3 балла,5 баллов,1 балл,1 балл,,2,в амбулаторных условиях гораздо меньше времени для приема пациента
1238572283,2022-10-24 09:52:15,Онколог (химиотерапевт),3 балла,5 баллов,2 балла,5 баллов,5 баллов,2 балла,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,3 балла,2 балла,4 балла,5 баллов,5 баллов,4 балла,1 балл,4 балла,,10,более тесный эмоциональный контакт с пациентами
1238569890,2022-10-24 09:50:11,Психиатр,5 баллов,5 баллов,1 балл,2 балла,4 балла,2 балла,5 баллов,2 балла,5 баллов,4 балла,4 балла,5 баллов,2 балла,5 баллов,4 балла,4 балла,3 балла,5 баллов,3 балла,3 балла,2 балла,1 балл,,7,"много времени на общение с пациентами и родственниками, подробное заполнение медицинской документации, отправление документов на МСЭ, в суд (недееспособность, принудительное лечение), решение социальных вопросов, оформление документов в интернаты"
1238567643,2022-10-24 09:48:16,Психиатр,5 баллов,5 баллов,2 балла,2 балла,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,3 балла,5 баллов,1 балл,,2,---
1238565424,2022-10-24 09:46:26,Онколог (химиотерапевт),4 балла,5 баллов,2 балла,2 балла,1 балл,1 балл,5 баллов,4 балла,5 баллов,1 балл,4 балла,5 баллов,1 балл,5 баллов,2 балла,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,3 балла,,2,
1238559866,2022-10-24 09:42:37,Психиатр,5 баллов,5 баллов,2 балла,1 балл,1 балл,1 балл,4 балла,2 балла,4 балла,4 балла,2 балла,5 баллов,1 балл,4 балла,4 балла,1 балл,4 балла,5 баллов,5 баллов,5 баллов,2 балла,1 балл,,5.0,не отличаются
1238545618,2022-10-24 09:33:23,Психиатр,5 баллов,5 баллов,1 балл,1 балл,4 балла,2 балла,4 балла,1 балл,2 балла,2 балла,5 баллов,2 балла,4 балла,5 баллов,4 балла,2 балла,5 баллов,5 баллов,5 баллов,4 балла,2 балла,4 балла,,10,
1238528517,2022-10-24 09:22:48,Психиатр,5 баллов,5 баллов,2 балла,2 балла,1 балл,2 балла,5 баллов,1 балл,5 баллов,1 балл,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,3 балла,,10,незначительно
1238411006,2022-10-24 08:48:42,Психиатр,5 баллов,5 баллов,1 балл,1 балл,3 балла,2 балла,4 балла,2 балла,5 баллов,3 балла,3 балла,5 баллов,2 балла,5 баллов,4 балла,4 балла,5 баллов,5 баллов,1 балл,5 баллов,4 балла,4 балла,,3,не знаю.
1238348244,2022-10-24 08:31:18,Психиатр,4 балла,5 баллов,1 балл,1 балл,3 балла,1 балл,4 балла,3 балла,4 балла,1 балл,4 балла,4 балла,2 балла,5 баллов,3 балла,3 балла,3 балла,5 баллов,3 балла,4 балла,3 балла,2 балла,,3,
1238305251,2022-10-24 08:04:33,Врач-инфекционист,5 баллов,5 баллов,3 балла,2 балла,2 балла,3 балла,5 баллов,4 балла,5 баллов,1 балл,4 балла,3 балла,2 балла,5 баллов,4 балла,4 балла,4 балла,5 баллов,5 баллов,4 балла,2 балла,4 балла,,3,схемамами лечения пациента на амбулаторном этапе
1238298807,2022-10-24 07:56:02,Психиатр,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,1 балл,5 баллов,4 балла,1 балл,5 баллов,5 баллов,1 балл,5 баллов,4 балла,2 балла,1 балл,5 баллов,5 баллов,5 баллов,1 балл,1 балл,,7,
1238292755,2022-10-24 07:47:26,Анестезиолог-реаниматолог,5 баллов,5 баллов,4 балла,2 балла,5 баллов,4 балла,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,2 балла,2 балла,4 балла,5 баллов,4 балла,3 балла,5 баллов,2 балла,2 балла,4 балла,5 баллов,,2,
1238290610,2022-10-24 07:44:16,Врач ЛФК и спортивной медицины,5 баллов,4 балла,1 балл,1 балл,1 балл,2 балла,1 балл,4 балла,4 балла,5 баллов,5 баллов,3 балла,2 балла,5 баллов,5 баллов,4 балла,3 балла,1 балл,1 балл,5 баллов,1 балл,1 балл,,1,
1238281214,2022-10-24 07:32:51,Психиатр-нарколог,5 баллов,2 балла,1 балл,1 балл,1 балл,1 балл,2 балла,4 балла,2 балла,1 балл,1 балл,4 балла,1 балл,5 баллов,3 балла,1 балл,3 балла,5 баллов,1 балл,5 баллов,3 балла,1 балл,,1,
1238281097,2022-10-24 07:32:43,Психиатр,5 баллов,5 баллов,2 балла,2 балла,3 балла,3 балла,5 баллов,4 балла,5 баллов,1 балл,4 балла,3 балла,2 балла,4 балла,3 балла,2 балла,4 балла,5 баллов,3 балла,3 балла,2 балла,3 балла,,5,нет
1238279675,2022-10-24 07:30:48,Психиатр,5 баллов,2 балла,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,5 баллов,1 балл,1 балл,3 балла,2 балла,1 балл,1 балл,5 баллов,5 баллов,5 баллов,1 балл,1 балл,,3,742047
1238279174,2022-10-24 07:30:07,Психиатр,5 баллов,5 баллов,1 балл,2 балла,3 балла,2 балла,4 балла,2 балла,4 балла,4 балла,3 балла,5 баллов,1 балл,1 балл,5 баллов,1 балл,3 балла,5 баллов,2 балла,5 баллов,1 балл,1 балл,,1,"частотой наблюдения, необходимостью диспансерного наблюдения и коррекции, работа с родственниками, решение социальных вопросов"
1238277725,2022-10-24 07:27:59,Дерматовенеролог,4 балла,5 баллов,1 балл,1 балл,1 балл,1 балл,1 балл,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,4 балла,4 балла,5 баллов,5 баллов,4 балла,5 баллов,3 балла,3 балла,,5,
1238274668,2022-10-24 07:23:39,Психиатр,5 баллов,4 балла,1 балл,1 балл,1 балл,1 балл,5 баллов,4 балла,5 баллов,3 балла,4 балла,4 балла,2 балла,5 баллов,3 балла,3 балла,5 баллов,5 баллов,2 балла,4 балла,3 балла,3 балла,,2,
1238274624,2022-10-24 07:23:35,Психиатр,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,2 балла,3 балла,5 баллов,4 балла,4 балла,1 балл,4 балла,5 баллов,4 балла,1 балл,4 балла,5 баллов,4 балла,4 балла,1 балл,1 балл,,2,
1238273926,2022-10-24 07:22:34,Психиатр,5 баллов,5 баллов,3 балла,2 балла,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,3 балла,3 балла,3 балла,3 балла,4 балла,5 баллов,4 балла,5 баллов,5 баллов,2 балла,3 балла,3 балла,3 балла,,3,нет принципиальных отличий
1238271327,2022-10-24 07:18:25,Психиатр,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,2 балла,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,4 балла,1 балл,5 баллов,5 баллов,5 баллов,4 балла,1 балл,2 балла,,3,-
1238267076,2022-10-24 07:11:34,Психиатр,5 баллов,5 баллов,5 баллов,1 балл,1 балл,2 балла,5 баллов,4 балла,5 баллов,4 балла,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,,5,нет
1238259897,2022-10-24 07:01:12,Терапевт,4 балла,5 баллов,1 балл,1 балл,4 балла,1 балл,5 баллов,5 баллов,5 баллов,3 балла,4 балла,1 балл,1 балл,4 балла,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,2 балла,1 балл,4 балла,,2,"высокий риск заболеваний на рабпотокооборот пациентов на амбулаторном этапе больше, в амбулатории риск заразиться выше"
1238252786,2022-10-24 06:49:23,Врач клинической лабораторной диагностики,2 балла,1 балл,1 балл,3 балла,5 баллов,2 балла,2 балла,5 баллов,4 балла,4 балла,4 балла,2 балла,2 балла,4 балла,4 балла,5 баллов,3 балла,1 балл,1 балл,3 балла,2 балла,4 балла,,2,
1238251481,2022-10-24 06:47:03,Врач клинической лабораторной диагностики,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,3 балла,4 балла,4 балла,4 балла,5 баллов,5 баллов,3 балла,5 баллов,3 балла,2 балла,4 балла,2 балла,5 баллов,,2,
1238250122,2022-10-24 06:44:33,Общий хирург,5 баллов,5 баллов,4 балла,2 балла,5 баллов,4 балла,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,3 балла,5 баллов,4 балла,5 баллов,4 балла,5 баллов,5 баллов,1 балл,,4,нет
1238249452,2022-10-24 06:43:22,Невролог,4 балла,3 балла,3 балла,3 балла,4 балла,4 балла,4 балла,3 балла,4 балла,3 балла,4 балла,4 балла,4 балла,4 балла,3 балла,2 балла,5 баллов,4 балла,4 балла,4 балла,2 балла,5 баллов,,3,
1238248927,2022-10-24 06:42:32,Неонатолог,5 баллов,5 баллов,4 балла,4 балла,5 баллов,2 балла,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,2 балла,4 балла,5 баллов,3 балла,3 балла,3 балла,5 баллов,2 балла,1 балл,1 балл,5 баллов,,2,работа преимущественно стационарная
1238244349,2022-10-24 06:36:48,Дерматовенеролог,5 баллов,4 балла,4 балла,4 балла,5 баллов,5 баллов,4 балла,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,3 балла,5 баллов,5 баллов,4 балла,5 баллов,3 балла,5 баллов,,5,нет
1238234067,2022-10-24 06:22:01,Врач-инфекционист,5 баллов,5 баллов,4 балла,2 балла,2 балла,1 балл,2 балла,2 балла,5 баллов,5 баллов,5 баллов,2 балла,1 балл,5 баллов,5 баллов,4 балла,2 балла,5 баллов,5 баллов,5 баллов,1 балл,4 балла,,1,
1238220983,2022-10-24 05:45:05,Офтальмолог,4 балла,5 баллов,2 балла,2 балла,2 балла,1 балл,2 балла,2 балла,5 баллов,5 баллов,4 балла,4 балла,3 балла,4 балла,3 балла,3 балла,4 балла,4 балла,4 балла,4 балла,3 балла,2 балла,,2,в стационаре .оперативнвя деятельность
1238069914,2022-10-23 21:16:20,Терапевт,5 баллов,4 балла,5 баллов,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,1 балл,1 балл,5 баллов,1 балл,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,1 балл,,10,-
1238056105,2022-10-23 20:53:04,Терапевт,5 баллов,5 баллов,1 балл,1 балл,2 балла,1 балл,3 балла,2 балла,5 баллов,1 балл,1 балл,4 балла,2 балла,1 балл,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,3 балла,1 балл,,1,
1238014332,2022-10-23 19:48:09,Психотерапевт,5 баллов,5 баллов,1 балл,1 балл,1 балл,2 балла,4 балла,5 баллов,5 баллов,4 балла,4 балла,5 баллов,1 балл,5 баллов,4 балла,3 балла,3 балла,4 балла,5 баллов,5 баллов,1 балл,4 балла,,3,
1238000226,2022-10-23 19:26:16,Врач скорой помощи,4 балла,4 балла,5 баллов,4 балла,5 баллов,2 балла,5 баллов,4 балла,5 баллов,4 балла,5 баллов,2 балла,4 балла,2 балла,5 баллов,5 баллов,3 балла,5 баллов,1 балл,2 балла,5 баллов,5 баллов,,1,"врач смп чаще подвержен травматизму ,нападениям пациентов и их родственников,работа при любых погодных условиях на улице,во время рабочей смены высокий риск дтп"
1237939299,2022-10-23 17:45:35,Судмедэксперт,4 балла,5 баллов,4 балла,3 балла,4 балла,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,3 балла,3 балла,4 балла,5 баллов,5 баллов,5 баллов,3 балла,3 балла,5 баллов,5 баллов,5 баллов,,5,
1237922230,2022-10-23 17:15:49,Психиатр-нарколог,5 баллов,5 баллов,4 балла,4 балла,5 баллов,3 балла,4 балла,2 балла,5 баллов,2 балла,5 баллов,4 балла,3 балла,4 балла,4 балла,2 балла,3 балла,5 баллов,3 балла,5 баллов,5 баллов,4 балла,,3,в амбулатории разъездной характер работы
1237910317,2022-10-23 16:54:30,Психиатр,5 баллов,5 баллов,1 балл,3 балла,1 балл,2 балла,2 балла,5 баллов,5 баллов,2 балла,2 балла,5 баллов,1 балл,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,4 балла,,7,
1237821806,2022-10-23 13:57:23,Дерматовенеролог,5 баллов,4 балла,3 балла,3 балла,2 балла,2 балла,2 балла,4 балла,4 балла,4 балла,5 баллов,3 балла,3 балла,3 балла,4 балла,5 баллов,4 балла,4 балла,5 баллов,4 балла,4 балла,2 балла,,6,графиком работы
1237757880,2022-10-23 11:36:15,Невролог,5 баллов,4 балла,5 баллов,4 балла,3 балла,3 балла,4 балла,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,2 балла,3 балла,4 балла,3 балла,4 балла,5 баллов,4 балла,2 балла,2 балла,2 балла,,3,Отличаются
1237720340,2022-10-23 10:07:35,Кардиолог,5 баллов,4 балла,1 балл,2 балла,1 балл,3 балла,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,1 балл,5 баллов,4 балла,1 балл,4 балла,5 баллов,4 балла,4 балла,1 балл,3 балла,,2,"В стационаре есть суточные и ночные дежурства, больше экстренных и тяжёлых пациентов"
1237681729,2022-10-23 08:29:48,Фтизиатр,5 баллов,4 балла,3 балла,2 балла,2 балла,2 балла,4 балла,4 балла,5 баллов,2 балла,4 балла,5 баллов,2 балла,2 балла,4 балла,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,2 балла,3 балла,,2,"Очень многим. В стационаре проходит практически вся дополнительная диагностика. А главное, основной курс лечения. В амбулатории- профилактика и выявление, обследование производственных и бытовых очагов."
1237557515,2022-10-22 22:04:41,Акушер-гинеколог,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,4 балла,4 балла,5 баллов,4 балла,5 баллов,5 баллов,4 балла,4 балла,5 баллов,2 балла,3 балла,3 балла,5 баллов,2 балла,1 балл,3 балла,,13,
1237511097,2022-10-22 20:34:56,Акушер-гинеколог,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,1 балл,2 балла,5 баллов,1 балл,3 балла,5 баллов,3 балла,2 балла,5 баллов,2 балла,1 балл,1 балл,3 балла,,15,Нет
1237504153,2022-10-22 20:23:11,Кардиолог,4 балла,4 балла,2 балла,1 балл,1 балл,1 балл,3 балла,1 балл,5 баллов,1 балл,3 балла,4 балла,2 балла,4 балла,3 балла,2 балла,3 балла,5 баллов,5 баллов,4 балла,1 балл,2 балла,,2,
